hostname,os,enviroment,country,node
LTIRL001,LINUX,Testing,Ireland,1
APIRL001,AIX,Production,Ireland,1
STDEU001,SOLARIS,Testing,Germany,1
SPIRL001,SOLARIS,Production,Ireland,1
HDITA001,HP-UX,Development,Italy,1
SDDEU001,SOLARIS,Development,Germany,1
LTESP001,LINUX,Testing,Spain,1
HPIRL001,HP-UX,Production,Ireland,1
APFRA001,AIX,Production,France,1
STIRL001,SOLARIS,Testing,Ireland,1
LPESP001,LINUX,Production,Spain,1
STESP001,SOLARIS,Testing,Spain,1
LDFRA001,LINUX,Development,France,1
LSDEU001,LINUX,Staging,Germany,1
HTIRL001,HP-UX,Testing,Ireland,1
APDEU001,AIX,Production,Germany,1
ADDEU001,AIX,Development,Germany,1
ASDEU001,AIX,Staging,Germany,1
HTESP001,HP-UX,Testing,Spain,1
SIIRL001,SOLARIS,Integration,Ireland,1
ATESP001,AIX,Testing,Spain,1
LSIRL001,LINUX,Staging,Ireland,1
LSESP001,LINUX,Staging,Spain,1
ATESP002,AIX,Testing,Spain,2
LSNOR001,LINUX,Staging,Norway,1
HPIRL002,HP-UX,Production,Ireland,2
LPDEU001,LINUX,Production,Germany,1
SPESP001,SOLARIS,Production,Spain,1
ATDEU001,AIX,Testing,Germany,1
SSITA001,SOLARIS,Staging,Italy,1
LTDEU001,LINUX,Testing,Germany,1
SPFRA001,SOLARIS,Production,France,1
LSITA001,LINUX,Staging,Italy,1
LPNOR001,LINUX,Production,Norway,1
SPNOR001,SOLARIS,Production,Norway,1
ATIRL001,AIX,Testing,Ireland,1
LPIRL001,LINUX,Production,Ireland,1
SPIRL002,SOLARIS,Production,Ireland,2
STIRL002,SOLARIS,Testing,Ireland,2
SPIRL003,SOLARIS,Production,Ireland,3
LSDEU002,LINUX,Staging,Germany,2
LIIRL001,LINUX,Integration,Ireland,1
LSFRA001,LINUX,Staging,France,1
SPIRL004,SOLARIS,Production,Ireland,4
LTDEU002,LINUX,Testing,Germany,2
SSDEU001,SOLARIS,Staging,Germany,1
ATESP003,AIX,Testing,Spain,3
HPESP001,HP-UX,Production,Spain,1
LIDEU001,LINUX,Integration,Germany,1
APDEU002,AIX,Production,Germany,2
LTNOR001,LINUX,Testing,Norway,1
LIDEU002,LINUX,Integration,Germany,2
ASIRL001,AIX,Staging,Ireland,1
ASFRA001,AIX,Staging,France,1
HTDEU001,HP-UX,Testing,Germany,1
ATNOR001,AIX,Testing,Norway,1
SIFRA001,SOLARIS,Integration,France,1
APIRL002,AIX,Production,Ireland,2
LTDEU003,LINUX,Testing,Germany,3
HDIRL001,HP-UX,Development,Ireland,1
LSIRL002,LINUX,Staging,Ireland,2
LIDEU003,LINUX,Integration,Germany,3
ATIRL002,AIX,Testing,Ireland,2
SDESP001,SOLARIS,Development,Spain,1
LPIRL002,LINUX,Production,Ireland,2
LSITA002,LINUX,Staging,Italy,2
APDEU003,AIX,Production,Germany,3
LTIRL002,LINUX,Testing,Ireland,2
SPDEU001,SOLARIS,Production,Germany,1
HSESP001,HP-UX,Staging,Spain,1
STDEU002,SOLARIS,Testing,Germany,2
STIRL003,SOLARIS,Testing,Ireland,3
APITA001,AIX,Production,Italy,1
STIRL004,SOLARIS,Testing,Ireland,4
LSESP002,LINUX,Staging,Spain,2
SSDEU002,SOLARIS,Staging,Germany,2
STESP002,SOLARIS,Testing,Spain,2
STIRL005,SOLARIS,Testing,Ireland,5
HPIRL003,HP-UX,Production,Ireland,3
SSIRL001,SOLARIS,Staging,Ireland,1
LSESP003,LINUX,Staging,Spain,3
SDFRA001,SOLARIS,Development,France,1
SPIRL005,SOLARIS,Production,Ireland,5
SSDEU003,SOLARIS,Staging,Germany,3
LTIRL003,LINUX,Testing,Ireland,3
APFRA002,AIX,Production,France,2
SDITA001,SOLARIS,Development,Italy,1
LIIRL002,LINUX,Integration,Ireland,2
LTDEU004,LINUX,Testing,Germany,4
APIRL003,AIX,Production,Ireland,3
SSITA002,SOLARIS,Staging,Italy,2
LSNOR002,LINUX,Staging,Norway,2
HPIRL004,HP-UX,Production,Ireland,4
HSIRL001,HP-UX,Staging,Ireland,1
LIESP001,LINUX,Integration,Spain,1
LIIRL003,LINUX,Integration,Ireland,3
LSNOR003,LINUX,Staging,Norway,3
ADDEU002,AIX,Development,Germany,2
SIDEU001,SOLARIS,Integration,Germany,1
STIRL006,SOLARIS,Testing,Ireland,6
LDIRL001,LINUX,Development,Ireland,1
STIRL007,SOLARIS,Testing,Ireland,7
LPESP002,LINUX,Production,Spain,2
LTDEU005,LINUX,Testing,Germany,5
HPIRL005,HP-UX,Production,Ireland,5
LIITA001,LINUX,Integration,Italy,1
LIESP002,LINUX,Integration,Spain,2
LSIRL003,LINUX,Staging,Ireland,3
SIESP001,SOLARIS,Integration,Spain,1
LDDEU001,LINUX,Development,Germany,1
HPITA001,HP-UX,Production,Italy,1
LSESP004,LINUX,Staging,Spain,4
LSITA003,LINUX,Staging,Italy,3
HDITA002,HP-UX,Development,Italy,2
HPFRA001,HP-UX,Production,France,1
LSIRL004,LINUX,Staging,Ireland,4
LSDEU003,LINUX,Staging,Germany,3
LPESP003,LINUX,Production,Spain,3
SPIRL006,SOLARIS,Production,Ireland,6
LINOR001,LINUX,Integration,Norway,1
LPESP004,LINUX,Production,Spain,4
ATDEU002,AIX,Testing,Germany,2
ASNOR001,AIX,Staging,Norway,1
ATFRA001,AIX,Testing,France,1
HIESP001,HP-UX,Integration,Spain,1
LSDEU004,LINUX,Staging,Germany,4
APITA002,AIX,Production,Italy,2
LPIRL003,LINUX,Production,Ireland,3
APESP001,AIX,Production,Spain,1
LSESP005,LINUX,Staging,Spain,5
APESP002,AIX,Production,Spain,2
LDDEU002,LINUX,Development,Germany,2
SSIRL002,SOLARIS,Staging,Ireland,2
APITA003,AIX,Production,Italy,3
LDDEU003,LINUX,Development,Germany,3
SDIRL001,SOLARIS,Development,Ireland,1
HTESP002,HP-UX,Testing,Spain,2
LSDEU005,LINUX,Staging,Germany,5
ASIRL002,AIX,Staging,Ireland,2
LPDEU002,LINUX,Production,Germany,2
HPIRL006,HP-UX,Production,Ireland,6
STESP003,SOLARIS,Testing,Spain,3
LTDEU006,LINUX,Testing,Germany,6
LTESP002,LINUX,Testing,Spain,2
LSIRL005,LINUX,Staging,Ireland,5
LSESP006,LINUX,Staging,Spain,6
SIFRA002,SOLARIS,Integration,France,2
ATDEU003,AIX,Testing,Germany,3
LSIRL006,LINUX,Staging,Ireland,6
LTITA001,LINUX,Testing,Italy,1
HSIRL002,HP-UX,Staging,Ireland,2
LTNOR002,LINUX,Testing,Norway,2
LPIRL004,LINUX,Production,Ireland,4
LPESP005,LINUX,Production,Spain,5
SIIRL002,SOLARIS,Integration,Ireland,2
LPDEU003,LINUX,Production,Germany,3
LPITA001,LINUX,Production,Italy,1
ATDEU004,AIX,Testing,Germany,4
LTIRL004,LINUX,Testing,Ireland,4
SPITA001,SOLARIS,Production,Italy,1
STESP004,SOLARIS,Testing,Spain,4
STFRA001,SOLARIS,Testing,France,1
SSIRL003,SOLARIS,Staging,Ireland,3
ASIRL003,AIX,Staging,Ireland,3
ATDEU005,AIX,Testing,Germany,5
SPESP002,SOLARIS,Production,Spain,2
HPDEU001,HP-UX,Production,Germany,1
HPFRA002,HP-UX,Production,France,2
LSDEU006,LINUX,Staging,Germany,6
LPIRL005,LINUX,Production,Ireland,5
ASFRA002,AIX,Staging,France,2
ATITA001,AIX,Testing,Italy,1
APFRA003,AIX,Production,France,3
SIDEU002,SOLARIS,Integration,Germany,2
STDEU003,SOLARIS,Testing,Germany,3
LSESP007,LINUX,Staging,Spain,7
SSESP001,SOLARIS,Staging,Spain,1
LTIRL005,LINUX,Testing,Ireland,5
LDITA001,LINUX,Development,Italy,1
ATFRA002,AIX,Testing,France,2
SPDEU002,SOLARIS,Production,Germany,2
LPIRL006,LINUX,Production,Ireland,6
HTIRL002,HP-UX,Testing,Ireland,2
LTDEU007,LINUX,Testing,Germany,7
LTESP003,LINUX,Testing,Spain,3
ADNOR001,AIX,Development,Norway,1
HDNOR001,HP-UX,Development,Norway,1
LPIRL007,LINUX,Production,Ireland,7
ATITA002,AIX,Testing,Italy,2
LPDEU004,LINUX,Production,Germany,4
APESP003,AIX,Production,Spain,3
LPIRL008,LINUX,Production,Ireland,8
SPITA002,SOLARIS,Production,Italy,2
SPIRL007,SOLARIS,Production,Ireland,7
LSIRL007,LINUX,Staging,Ireland,7
SSIRL004,SOLARIS,Staging,Ireland,4
LSITA004,LINUX,Staging,Italy,4
HPIRL007,HP-UX,Production,Ireland,7
LSESP008,LINUX,Staging,Spain,8
LPDEU005,LINUX,Production,Germany,5
LPIRL009,LINUX,Production,Ireland,9
LIDEU004,LINUX,Integration,Germany,4
ATESP004,AIX,Testing,Spain,4
LTESP004,LINUX,Testing,Spain,4
ADIRL001,AIX,Development,Ireland,1
LPESP006,LINUX,Production,Spain,6
STDEU004,SOLARIS,Testing,Germany,4
SSIRL005,SOLARIS,Staging,Ireland,5
LTIRL006,LINUX,Testing,Ireland,6
HTDEU002,HP-UX,Testing,Germany,2
SPESP003,SOLARIS,Production,Spain,3
ASNOR002,AIX,Staging,Norway,2
SPNOR002,SOLARIS,Production,Norway,2
LPDEU006,LINUX,Production,Germany,6
SDIRL002,SOLARIS,Development,Ireland,2
ASESP001,AIX,Staging,Spain,1
LIESP003,LINUX,Integration,Spain,3
ATESP005,AIX,Testing,Spain,5
LPITA002,LINUX,Production,Italy,2
LDDEU004,LINUX,Development,Germany,4
SPIRL008,SOLARIS,Production,Ireland,8
APIRL004,AIX,Production,Ireland,4
LDESP001,LINUX,Development,Spain,1
LTIRL007,LINUX,Testing,Ireland,7
LPIRL010,LINUX,Production,Ireland,10
LINOR002,LINUX,Integration,Norway,2
SDDEU002,SOLARIS,Development,Germany,2
SPIRL009,SOLARIS,Production,Ireland,9
LPIRL011,LINUX,Production,Ireland,11
LIDEU005,LINUX,Integration,Germany,5
LTESP005,LINUX,Testing,Spain,5
LDITA002,LINUX,Development,Italy,2
SPIRL010,SOLARIS,Production,Ireland,10
LPDEU007,LINUX,Production,Germany,7
SPITA003,SOLARIS,Production,Italy,3
LSIRL008,LINUX,Staging,Ireland,8
APIRL005,AIX,Production,Ireland,5
LSDEU007,LINUX,Staging,Germany,7
LPESP007,LINUX,Production,Spain,7
SPFRA002,SOLARIS,Production,France,2
STNOR001,SOLARIS,Testing,Norway,1
LDIRL002,LINUX,Development,Ireland,2
LPESP008,LINUX,Production,Spain,8
APDEU004,AIX,Production,Germany,4
SPFRA003,SOLARIS,Production,France,3
STFRA002,SOLARIS,Testing,France,2
SPDEU003,SOLARIS,Production,Germany,3
LPFRA001,LINUX,Production,France,1
LTIRL008,LINUX,Testing,Ireland,8
STDEU005,SOLARIS,Testing,Germany,5
LTESP006,LINUX,Testing,Spain,6
SSDEU004,SOLARIS,Staging,Germany,4
STITA001,SOLARIS,Testing,Italy,1
ASDEU002,AIX,Staging,Germany,2
LSDEU008,LINUX,Staging,Germany,8
STITA002,SOLARIS,Testing,Italy,2
ADFRA001,AIX,Development,France,1
SIESP002,SOLARIS,Integration,Spain,2
ADIRL002,AIX,Development,Ireland,2
APIRL006,AIX,Production,Ireland,6
ASITA001,AIX,Staging,Italy,1
SPESP004,SOLARIS,Production,Spain,4
SPITA004,SOLARIS,Production,Italy,4
LDIRL003,LINUX,Development,Ireland,3
HTIRL003,HP-UX,Testing,Ireland,3
HDDEU001,HP-UX,Development,Germany,1
LTIRL009,LINUX,Testing,Ireland,9
STITA003,SOLARIS,Testing,Italy,3
SSESP002,SOLARIS,Staging,Spain,2
ASFRA003,AIX,Staging,France,3
HSDEU001,HP-UX,Staging,Germany,1
SIIRL003,SOLARIS,Integration,Ireland,3
LSESP009,LINUX,Staging,Spain,9
LPIRL012,LINUX,Production,Ireland,12
SIESP003,SOLARIS,Integration,Spain,3
APIRL007,AIX,Production,Ireland,7
HSIRL003,HP-UX,Staging,Ireland,3
SDNOR001,SOLARIS,Development,Norway,1
LTIRL010,LINUX,Testing,Ireland,10
